dataset,feature_set,params,mean_bal_acc,std_bal_acc,timestamp
HAM10000,Color,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.14939500432911706,0.004887094104889873,2026-01-13T23:48:33.351595
HAM10000,Color,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.15300240589089903,0.007040879449112992,2026-01-14T00:39:16.114047
HAM10000,Color,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.14815715624355041,0.004213901220151664,2026-01-14T01:30:22.665249
ISIC2019,Color,"{'N': 1500, 'learningIterations': 100000, 'theta_sel': 0.8}",0.1487648980360689,0.00290421691918135,2026-01-14T02:08:15.912901
ISIC2019,Color,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.8}",0.15015410686734548,0.002944215517881408,2026-01-14T03:00:16.146491
ISIC2019,Color,"{'N': 2000, 'learningIterations': 120000, 'theta_sel': 0.9}",0.14867762656308198,0.004756520269961699,2026-01-14T03:52:25.984479
